,Location,total_items,total_orders,avg_del_time,orders,items,street_address
0,"(60.158, 24.946)",51,26,30.725,>max,>max,"Kaptensgatan 9, 00140 Helsingfors, Finland"
1,"(60.158, 24.935)",100,34,29.10493827160494,>max,>max,"Styrmansgatan 6, 00150 Helsingfors, Finland"
2,"(60.158, 24.922)",23,9,35.0625,>25% & <75%,>25% & <75%,"Stillahavsgatan 6, 00220 Helsingfors, Finland"
3,"(60.158, 24.915)",41,15,31.26923076923077,>75% & <max,>75% & <max,"Saukonkuja 9, 00220 Helsinki, Finland"
4,"(60.158, 24.952)",34,16,30.464285714285715,>75% & <max,>25% & <75%,"Petersgatan 2, 00140 Helsingfors, Finland"
5,"(60.158, 24.937)",51,22,31.07894736842105,>max,>max,"Sepänkatu 19, 00150 Helsinki, Finland"
6,"(60.158, 24.916)",31,12,35.05,>25% & <75%,>25% & <75%,"Jätkäsaarenkuja 8, 00220 Helsinki, Finland"
7,"(60.158, 24.921)",73,20,42.6764705882353,>max,>max,"Stillahavsgatan 5b, 00220 Helsingfors, Finland"
8,"(60.158, 24.938)",44,23,31.84090909090909,>max,>75% & <max,"Tehtaankatu 32, 00150 Helsinki, Finland"
9,"(60.158, 24.931)",16,7,24.142857142857142,>25% & <75%,>25% & <75%,"Munkholmsgatan 3, 00150 Helsingfors, Finland"
10,"(60.158, 24.919)",37,22,40.61904761904762,>max,>75% & <max,"Itäinen Vaihdekuja 6, 00220 Helsinki, Finland"
11,"(60.158, 24.936)",83,36,31.653846153846153,>max,>max,"Sepänkatu 89D, 00150 Helsinki, Finland"
12,"(60.158, 24.93)",3,2,42.5,<25%,<25%,"Munkholmsgatan 3, 00150 Helsingfors, Finland"
13,"(60.158, 24.941)",17,6,30.0,>25% & <75%,>25% & <75%,"Laivurinkatu 31, 00150 Helsinki, Finland"
14,"(60.158, 24.934)",66,27,36.108695652173914,>max,>max,"Tehtaankatu 29, 00150 Helsinki, Finland"
15,"(60.158, 24.956)",9,3,38.333333333333336,<25%,>25% & <75%,"Iso Puistotie 1, 00140 Helsinki, Finland"
16,"(60.158, 24.943)",28,13,35.0,>25% & <75%,>25% & <75%,"Tehtaankatu 26, 00150 Helsinki, Finland"
